,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
34,Victoria Village,43.732658,-79.3111892,TTC Bus #24 Victoria Park Ave,43.73519712929972,-79.30697679519653,Bus Line
35,Victoria Village,43.732658,-79.3111892,Osmow's Authentic Mediterranean Restaurant,43.735943,-79.308014,Mediterranean Restaurant
36,Victoria Village,43.732658,-79.3111892,Tagpuan,43.735943360819704,-79.30765061665487,Asian Restaurant
37,Victoria Village,43.732658,-79.3111892,The Prince - Shisha Lounge,43.736602724746405,-79.30781173902841,Middle Eastern Restaurant
38,Victoria Village,43.732658,-79.3111892,Bamboo Garden,43.73596810935831,-79.30623638143747,Chinese Restaurant
39,Victoria Village,43.732658,-79.3111892,K C McFlys,43.73598654734451,-79.30620886692107,Wings Joint
40,Victoria Village,43.732658,-79.3111892,Eglinton Ave E & Sloane Ave/Bermondsey Rd,43.726086,-79.31362,Intersection
41,Victoria Village,43.732658,-79.3111892,Pizza Nova,43.725823726352196,-79.31286041792907,Pizza Place
42,Victoria Village,43.732658,-79.3111892,The Frig,43.72705130603407,-79.31741760908679,French Restaurant
43,Victoria Village,43.732658,-79.3111892,Surati Sweet Mart,43.7403724703111,-79.31551931600761,Indian Restaurant
44,Victoria Village,43.732658,-79.3111892,Pet Valu,43.726178,-79.3029598519206,Pet Store
45,Victoria Village,43.732658,-79.3111892,Value Village,43.726177913526385,-79.30281878706506,Thrift / Vintage Store
46,"Regent Park, Harbourfront",43.6607056,-79.3604569,Regent Park Aquatic Centre,43.6606003130796,-79.36139162915349,Pool
47,"Regent Park, Harbourfront",43.6607056,-79.3604569,Thai To Go,43.663418,-79.36071,Thai Restaurant
48,"Regent Park, Harbourfront",43.6607056,-79.3604569,Sumach Espresso,43.65813540553308,-79.35951549011845,Coffee Shop
49,"Regent Park, Harbourfront",43.6607056,-79.3604569,Daniels Spectrum,43.66013679276432,-79.36180783336452,Performing Arts Venue
50,"Regent Park, Harbourfront",43.6607056,-79.3604569,Merchants of Green Coffee,43.659916,-79.353963,Coffee Shop
51,"Regent Park, Harbourfront",43.6607056,-79.3604569,Paintbox Bistro,43.660050475903624,-79.36285470971839,Restaurant
52,"Regent Park, Harbourfront",43.6607056,-79.3604569,Impact Kitchen,43.65636850543279,-79.35697968750694,Restaurant
53,"Regent Park, Harbourfront",43.6607056,-79.3604569,Sukhothai,43.658444465539525,-79.36568085121628,Thai Restaurant
54,"Regent Park, Harbourfront",43.6607056,-79.3604569,Riverdale Park West,43.66604827676354,-79.36094117493359,Park
55,"Regent Park, Harbourfront",43.6607056,-79.3604569,House on Parliament,43.663645704974314,-79.36785378722945,Gastropub
56,"Regent Park, Harbourfront",43.6607056,-79.3604569,Corktown Common,43.655617799749734,-79.3562113397429,Park
57,"Regent Park, Harbourfront",43.6607056,-79.3604569,Riverdale Farm,43.66685035126636,-79.36137564770476,Farm
58,"Regent Park, Harbourfront",43.6607056,-79.3604569,Underpass Park,43.65576361726024,-79.3548059463501,Park
59,"Regent Park, Harbourfront",43.6607056,-79.3604569,Dark Horse Espresso Bar,43.65849807585409,-79.35235639621163,Coffee Shop
60,"Regent Park, Harbourfront",43.6607056,-79.3604569,Dominion Pub and Kitchen,43.65691857501867,-79.35896684476664,Pub
61,"Regent Park, Harbourfront",43.6607056,-79.3604569,Stout Irish Pub,43.66389071833622,-79.3690300810636,Pub
62,"Regent Park, Harbourfront",43.6607056,-79.3604569,Quad East,43.65868140211272,-79.35127335463245,Gym / Fitness Center
63,"Regent Park, Harbourfront",43.6607056,-79.3604569,White Lily Diner,43.65867460038718,-79.35107379221633,Diner
64,"Regent Park, Harbourfront",43.6607056,-79.3604569,Qi sushi,43.66255180762697,-79.36425843422568,Sushi Restaurant
65,"Regent Park, Harbourfront",43.6607056,-79.3604569,Toronto Humane Society,43.65769802359708,-79.3565828808708,Animal Shelter
66,"Regent Park, Harbourfront",43.6607056,-79.3604569,Roselle Desserts,43.653446723052674,-79.3620167174383,Bakery
67,"Regent Park, Harbourfront",43.6607056,-79.3604569,Pet Valu,43.66420501339666,-79.36846012382637,Pet Store
68,"Regent Park, Harbourfront",43.6607056,-79.3604569,The Broadview Hotel,43.6590599,-79.35003,Hotel
69,"Regent Park, Harbourfront",43.6607056,-79.3604569,I Love Churros,43.65836361668554,-79.36558277878224,Food Truck
70,"Regent Park, Harbourfront",43.6607056,-79.3604569,Figs Breakfast & Lunch,43.65567455427388,-79.3645032892494,Breakfast Spot
71,"Regent Park, Harbourfront",43.6607056,-79.3604569,Tandem Coffee,43.65355870959944,-79.36180945913513,Coffee Shop
72,"Regent Park, Harbourfront",43.6607056,-79.3604569,Souk Tabule,43.65375556880743,-79.35439006096168,Mediterranean Restaurant
73,"Regent Park, Harbourfront",43.6607056,-79.3604569,Kingyo Toronto,43.66589495808371,-79.36841520638596,Japanese Restaurant
74,"Regent Park, Harbourfront",43.6607056,-79.3604569,Labour Of Love,43.663907,-79.368822,Gift Shop
75,"Regent Park, Harbourfront",43.6607056,-79.3604569,Ha Noi 3 Seasons,43.665578086017604,-79.3521527142361,Asian Restaurant
76,"Regent Park, Harbourfront",43.6607056,-79.3604569,ODIN Cafe + Bar,43.656738544928054,-79.35650305267754,Café
77,"Regent Park, Harbourfront",43.6607056,-79.3604569,The Epicure Shop,43.663964860964924,-79.36779540886938,Deli / Bodega
78,"Regent Park, Harbourfront",43.6607056,-79.3604569,Zakkushi ざっ串,43.663618353768534,-79.37067046949925,Japanese Restaurant
79,"Regent Park, Harbourfront",43.6607056,-79.3604569,The Irv Gastro Pub,43.663556,-79.370617,Gastropub
80,"Regent Park, Harbourfront",43.6607056,-79.3604569,Rooftop At Broadview Hotel,43.6591094703885,-79.35007412650944,Hotel Bar
81,"Regent Park, Harbourfront",43.6607056,-79.3604569,Kanpai Snack Bar,43.664330935948634,-79.36806503124257,Taiwanese Restaurant
82,"Regent Park, Harbourfront",43.6607056,-79.3604569,Pho House,43.66574006403083,-79.3514929027799,Vietnamese Restaurant
83,"Regent Park, Harbourfront",43.6607056,-79.3604569,Mercedes-Benz Downtown,43.66143119502613,-79.35658517368444,Auto Dealership
84,"Regent Park, Harbourfront",43.6607056,-79.3604569,Eastbound Brewing Company,43.65900780122884,-79.35024989233756,Brewery
85,"Regent Park, Harbourfront",43.6607056,-79.3604569,Wong's Ice Cream + Store,43.665720828413036,-79.35124262662545,Ice Cream Shop
86,"Regent Park, Harbourfront",43.6607056,-79.3604569,Morning Glory Cafe,43.653946942635294,-79.36114884214422,Breakfast Spot
87,"Regent Park, Harbourfront",43.6607056,-79.3604569,Body Blitz Spa East,43.65473505045365,-79.35987433132891,Spa
88,"Regent Park, Harbourfront",43.6607056,-79.3604569,Farside,43.66568078247237,-79.35174180554331,Bar
89,"Regent Park, Harbourfront",43.6607056,-79.3604569,Fair Trade Jewellery Co.,43.6653480241165,-79.36836240366654,Jewelry Store
90,"Regent Park, Harbourfront",43.6607056,-79.3604569,Ruby WatchCo.,43.65914910163365,-79.34916965901455,Restaurant
91,"Regent Park, Harbourfront",43.6607056,-79.3604569,Royal Canadian Curling Club,43.65998933676023,-79.34955038817158,Curling Ice
92,"Regent Park, Harbourfront",43.6607056,-79.3604569,Merryberry Cafe + Bistro,43.66663020301851,-79.36879184199822,Café
93,"Regent Park, Harbourfront",43.6607056,-79.3604569,The Yoga Lounge,43.65551522261721,-79.36495542526245,Yoga Studio
94,"Regent Park, Harbourfront",43.6607056,-79.3604569,Cooper Koo Family YMCA,43.65324910177244,-79.35800826343677,Distribution Center
95,"Regent Park, Harbourfront",43.6607056,-79.3604569,The Cannonball,43.65829890360228,-79.35239704706817,Coffee Shop
96,"Regent Park, Harbourfront",43.6607056,-79.3604569,Butter Chicken Factory,43.66707247004843,-79.36918422958169,Indian Restaurant
97,"Regent Park, Harbourfront",43.6607056,-79.3604569,Andrea's Gerrard St. Bakery,43.66586797202085,-79.35067098697503,Bakery
98,"Regent Park, Harbourfront",43.6607056,-79.3604569,Berkeley Church,43.65512324174501,-79.36587330410705,Event Space
99,"Regent Park, Harbourfront",43.6607056,-79.3604569,Cabbagetown Brew,43.66692279890784,-79.36928929560437,Café
100,"Regent Park, Harbourfront",43.6607056,-79.3604569,Tung Hing Bakery,43.665178752123936,-79.35253082343527,Bakery
101,"Regent Park, Harbourfront",43.6607056,-79.3604569,Ontario Restaurant,43.65888321199789,-79.36836906142996,Diner
102,"Regent Park, Harbourfront",43.6607056,-79.3604569,Green Earth Vegetarian,43.66589,-79.35265,Vegetarian / Vegan Restaurant
103,"Regent Park, Harbourfront",43.6607056,-79.3604569,Tertulia,43.658744,-79.349276,Café
104,"Regent Park, Harbourfront",43.6607056,-79.3604569,Chew Chew's Diner,43.66350438663724,-79.37223072274612,Diner
105,"Regent Park, Harbourfront",43.6607056,-79.3604569,St John's Bakery,43.66033530315765,-79.35047712257966,Bakery
106,"Regent Park, Harbourfront",43.6607056,-79.3604569,The Opera House,43.65890447141719,-79.34874429043093,Rock Club
107,"Regent Park, Harbourfront",43.6607056,-79.3604569,It's Jenny Café,43.66193794313605,-79.36898910730264,Café
108,"Regent Park, Harbourfront",43.6607056,-79.3604569,St. Jamestown Delicatessen,43.66581142395609,-79.36864825640076,Butcher
109,"Regent Park, Harbourfront",43.6607056,-79.3604569,Toronto Dance Theatre,43.66623230619368,-79.36707506629983,General Entertainment
110,"Regent Park, Harbourfront",43.6607056,-79.3604569,The Aviary,43.65363394725125,-79.35466212072043,Pub
111,"Regent Park, Harbourfront",43.6607056,-79.3604569,The Local Gest,43.66282978618641,-79.36750754636685,Restaurant
112,"Regent Park, Harbourfront",43.6607056,-79.3604569,The Pear Tree,43.664904018134834,-79.36824639094671,Restaurant
113,"Regent Park, Harbourfront",43.6607056,-79.3604569,The Extension Room,43.65331304337331,-79.35972538072777,Gym / Fitness Center
114,"Regent Park, Harbourfront",43.6607056,-79.3604569,Shoppers Drug Mart,43.660204,-79.361332,Pharmacy
115,"Regent Park, Harbourfront",43.6607056,-79.3604569,The Beer Store,43.6613878,-79.370403,Beer Store
116,"Regent Park, Harbourfront",43.6607056,-79.3604569,Hey Lucy,43.66407509923825,-79.36865505824356,Italian Restaurant
117,"Regent Park, Harbourfront",43.6607056,-79.3604569,Prohibition Gastrohouse,43.65881348516176,-79.35032270812795,Gastropub
118,"Regent Park, Harbourfront",43.6607056,-79.3604569,Regent Park,43.660382523982804,-79.36181011844143,Park
119,"Regent Park, Harbourfront",43.6607056,-79.3604569,Dark Horse Espresso Bar,43.653080578844275,-79.3570778621122,Coffee Shop
120,"Regent Park, Harbourfront",43.6607056,-79.3604569,Thai Room - Carlton,43.6641587260231,-79.36818872980979,Thai Restaurant
121,"Regent Park, Harbourfront",43.6607056,-79.3604569,Lady Marmalade,43.663216,-79.35152,Breakfast Spot
122,"Regent Park, Harbourfront",43.6607056,-79.3604569,Alumnae Theatre,43.65275554626444,-79.36475283805089,Theater
123,"Regent Park, Harbourfront",43.6607056,-79.3604569,TD Canada Trust,43.66465469253796,-79.36788707971579,Bank
124,"Regent Park, Harbourfront",43.6607056,-79.3604569,Sultan Of Samosas,43.66022749787444,-79.36622571571063,Indian Restaurant
125,"Regent Park, Harbourfront",43.6607056,-79.3604569,Tim Hortons,43.659935,-79.3613063,Coffee Shop
126,"Regent Park, Harbourfront",43.6607056,-79.3604569,The Beer Store,43.657773,-79.3574632,Beer Store
127,"Regent Park, Harbourfront",43.6607056,-79.3604569,Wendy’s,43.660403362711776,-79.36062902212149,Fast Food Restaurant
128,"Regent Park, Harbourfront",43.6607056,-79.3604569,Sushi Bar,43.65879825022111,-79.35008516753265,Sushi Restaurant
129,"Regent Park, Harbourfront",43.6607056,-79.3604569,King's Place647-352-0786,43.658278219451866,-79.37092509166455,Pakistani Restaurant
130,"Regent Park, Harbourfront",43.6607056,-79.3604569,Vistek,43.65704640025721,-79.35966695607046,Electronics Store
131,"Regent Park, Harbourfront",43.6607056,-79.3604569,Chino Locos,43.66554244564959,-79.35270302271374,Fast Food Restaurant
132,"Regent Park, Harbourfront",43.6607056,-79.3604569,Rose's Vietnamese Sandwiches,43.665611822958766,-79.35168477178863,Vietnamese Restaurant
133,"Regent Park, Harbourfront",43.6607056,-79.3604569,East Chinatown,43.66567758428067,-79.3516682711373,Neighborhood
134,"Regent Park, Harbourfront",43.6607056,-79.3604569,Jetfuel Coffee,43.66529519392083,-79.3683345416816,Coffee Shop
135,"Regent Park, Harbourfront",43.6607056,-79.3604569,Brickworks Ciderhouse,43.658870420554145,-79.34981768857223,Bar
136,"Regent Park, Harbourfront",43.6607056,-79.3604569,Savoury Grounds,43.656820970004496,-79.3589698353747,Coffee Shop
137,"Regent Park, Harbourfront",43.6607056,-79.3604569,Daniel et Daniel Event Creation & Catering,43.6643837,-79.3683282,Bakery
138,"Regent Park, Harbourfront",43.6607056,-79.3604569,LCBO,43.665585593088366,-79.36853050840249,Liquor Store
139,"Regent Park, Harbourfront",43.6607056,-79.3604569,Tim Hortons,43.6599299,-79.3659798,Coffee Shop
140,"Regent Park, Harbourfront",43.6607056,-79.3604569,Dumpling House 餃子園,43.66572519110226,-79.35117791892397,Chinese Restaurant
141,"Regent Park, Harbourfront",43.6607056,-79.3604569,Moss Park Arena,43.65488712314853,-79.36977129447679,Skating Rink
142,"Regent Park, Harbourfront",43.6607056,-79.3604569,TD Canada Trust,43.652779762702764,-79.3563362625656,Bank
143,"Regent Park, Harbourfront",43.6607056,-79.3604569,Tim Hortons,43.6656796259657,-79.3552868687172,Coffee Shop
144,"Regent Park, Harbourfront",43.6607056,-79.3604569,Liberty Shawarma,43.65894028108567,-79.34971532956682,Falafel Restaurant
145,"Regent Park, Harbourfront",43.6607056,-79.3604569,Sukhothai,43.653700903664294,-79.3544465359079,Thai Restaurant
146,"Lawrence Manor, Lawrence Heights",43.7220788,-79.4375067,United Bakers Dairy Restaurant,43.7200428099426,-79.43109456040295,Breakfast Spot
147,"Lawrence Manor, Lawrence Heights",43.7220788,-79.4375067,Grodzinski Bakery,43.72773841150353,-79.43159266924582,Bakery
148,"Lawrence Manor, Lawrence Heights",43.7220788,-79.4375067,Gryfe's Bagel Bakery,43.72706236914395,-79.43158677774109,Bagel Shop
149,"Lawrence Manor, Lawrence Heights",43.7220788,-79.4375067,What-a-bagel,43.729148289015136,-79.43195576972572,Bagel Shop
150,"Lawrence Manor, Lawrence Heights",43.7220788,-79.4375067,Dr Laffa On The Go,43.71812671714667,-79.42941895940547,Middle Eastern Restaurant
151,"Lawrence Manor, Lawrence Heights",43.7220788,-79.4375067,La Mexicana,43.725734406620205,-79.43112503100639,Mexican Restaurant
152,"Lawrence Manor, Lawrence Heights",43.7220788,-79.4375067,TD Canada Trust,43.71959476063143,-79.43279877315945,Bank
153,"Lawrence Manor, Lawrence Heights",43.7220788,-79.4375067,Rainbow Sushi,43.71809599324529,-79.42956472273946,Sushi Restaurant
154,"Lawrence Manor, Lawrence Heights",43.7220788,-79.4375067,Starbucks,43.71571314953408,-79.44371729268211,Coffee Shop
155,"Lawrence Manor, Lawrence Heights",43.7220788,-79.4375067,PetSmart,43.7165437,-79.4459263,Pet Store
156,"Lawrence Manor, Lawrence Heights",43.7220788,-79.4375067,Shoppers Drug Mart,43.720349,-79.430194,Pharmacy
157,"Lawrence Manor, Lawrence Heights",43.7220788,-79.4375067,Tim Hortons,43.7251353,-79.4492059,Coffee Shop
158,"Lawrence Manor, Lawrence Heights",43.7220788,-79.4375067,Winners,43.7193869,-79.4307956,Department Store
159,"Lawrence Manor, Lawrence Heights",43.7220788,-79.4375067,Tim Hortons,43.716686483868756,-79.44718510902453,Coffee Shop
160,"Lawrence Manor, Lawrence Heights",43.7220788,-79.4375067,Subway,43.72042774444331,-79.42955633385043,Sandwich Place
161,"Lawrence Manor, Lawrence Heights",43.7220788,-79.4375067,Pizza Hut,43.72697448730469,-79.43163299560547,Pizza Place
162,"Lawrence Manor, Lawrence Heights",43.7220788,-79.4375067,Metro,43.71957472930004,-79.43083218191845,Supermarket
163,"Lawrence Manor, Lawrence Heights",43.7220788,-79.4375067,Tim Hortons,43.719793,-79.430534,Coffee Shop
164,"Lawrence Manor, Lawrence Heights",43.7220788,-79.4375067,KFC,43.7166,-79.447,Fast Food Restaurant
165,"Lawrence Manor, Lawrence Heights",43.7220788,-79.4375067,Tov-Li,43.72920503909014,-79.43202160765792,Pizza Place
166,"Lawrence Manor, Lawrence Heights",43.7220788,-79.4375067,Addition Elle,43.718707,-79.432152,Women's Store
167,"Lawrence Manor, Lawrence Heights",43.7220788,-79.4375067,The Park,43.72729817149752,-79.43758964719355,Park
168,"Lawrence Manor, Lawrence Heights",43.7220788,-79.4375067,Fortinos,43.716656,-79.447257,Grocery Store
169,"Lawrence Manor, Lawrence Heights",43.7220788,-79.4375067,TTC Stop #5337,43.71916094535168,-79.43033198860121,Bus Stop
170,"Lawrence Manor, Lawrence Heights",43.7220788,-79.4375067,Walking on a cloud,43.715531201814954,-79.43699232693403,Shoe Store
171,"Lawrence Manor, Lawrence Heights",43.7220788,-79.4375067,McDonald's,43.717134,-79.44736,Fast Food Restaurant
172,"Lawrence Manor, Lawrence Heights",43.7220788,-79.4375067,Kosher City Plus,43.728544934122404,-79.43199424741522,Grocery Store
173,"Lawrence Manor, Lawrence Heights",43.7220788,-79.4375067,TTC Platform Yorkdale,43.72508436920864,-79.44763384127717,Platform
174,"Lawrence Manor, Lawrence Heights",43.7220788,-79.4375067,TTC Bus 52 Lawrence West,43.71565715644059,-79.44409374568315,Bus Line
175,"Lawrence Manor, Lawrence Heights",43.7220788,-79.4375067,Yorkdale Subway Station,43.725292803673206,-79.44782181921485,Metro Station
176,"Lawrence Manor, Lawrence Heights",43.7220788,-79.4375067,Baycrest Arena,43.72914008234731,-79.44304777697641,Skating Rink
177,"Lawrence Manor, Lawrence Heights",43.7220788,-79.4375067,Baycrest Park,43.72871876166545,-79.44501488823927,Playground
178,"Lawrence Manor, Lawrence Heights",43.7220788,-79.4375067,Chocolate Charm,43.730079,-79.432281,Gift Shop
179,"Lawrence Manor, Lawrence Heights",43.7220788,-79.4375067,Dollarama,43.716656,-79.447257,Discount Store
180,"Lawrence Manor, Lawrence Heights",43.7220788,-79.4375067,Sportchek,43.7303860247442,-79.44211365913375,Gym / Fitness Center
181,"Lawrence Manor, Lawrence Heights",43.7220788,-79.4375067,The Source,43.716624,-79.44738,Electronics Store
182,"Lawrence Manor, Lawrence Heights",43.7220788,-79.4375067,TTC Gateway Yorkdale,43.72522592934833,-79.44778441146707,Convenience Store
183,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399,Neo Coffee Bar,43.66014,-79.38587,Coffee Shop
184,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399,Vegetarian Haven,43.656016028357094,-79.3927577742003,Vegetarian / Vegan Restaurant
185,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399,Jimmy's Coffee,43.65842123574496,-79.38561319551111,Coffee Shop
186,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399,Mercatto,43.660390911898546,-79.38766421192705,Italian Restaurant
187,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399,Tim Hortons,43.658569999999976,-79.38512341104502,Coffee Shop
188,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399,Hailed Coffee,43.65883296982352,-79.38368351986598,Coffee Shop
189,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399,Queen's Park,43.66394609897775,-79.39217952520835,Park
190,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399,Somethin' 2 Talk About,43.65839479027968,-79.38533765920816,Middle Eastern Restaurant
191,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399,Jimmy's Coffee,43.65582710322224,-79.39204216888555,Café
192,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399,Art Gallery of Ontario,43.654002860337386,-79.39292172707437,Art Gallery
193,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399,The Yoga Sanctuary,43.661499497597596,-79.38363613350754,Yoga Studio
194,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399,T-Swirl Crepe,43.663452,-79.384125,Creperie
195,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399,The Elm Tree Restaurant,43.65739749535259,-79.38376054171513,Modern European Restaurant
196,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399,Duke's Refresher + Bar,43.65897985683036,-79.38294890507811,Bar
197,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399,Banh Mi Boys,43.659292,-79.381949,Sandwich Place
198,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399,Cafe Plenty,43.65457125894357,-79.38944976536852,Café
199,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399,Curry's Art Store Ltd.,43.66283810530193,-79.38373201352064,Arts & Crafts Store
200,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399,Chatime 日出茶太,43.65554164147378,-79.38468427043244,Bubble Tea Shop
201,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399,Rolltation,43.65491791857301,-79.3874242454196,Japanese Restaurant
202,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399,The Library Specialty Coffee,43.65441282740799,-79.39090161351724,Coffee Shop
203,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399,The Queen and Beaver Public House,43.65747228208784,-79.38352412327917,Gastropub
204,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399,Central YMCA,43.663083310067655,-79.38502493214878,Distribution Center
205,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399,Sushi Box,43.66295954544153,-79.38657996066198,Sushi Restaurant
206,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399,Sansotei Ramen 三草亭,43.655157467561246,-79.38650067479335,Ramen Restaurant
207,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399,Como En Casa,43.66516,-79.384796,Mexican Restaurant
208,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399,Downtown Toronto,43.65323167517444,-79.38529600606677,Neighborhood
209,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399,Karine's,43.653698928318526,-79.39074313568692,Breakfast Spot
210,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399,College Park Area,43.659453,-79.383785,Park
211,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399,Textile Museum of Canada,43.65439630500274,-79.38650010906946,Art Museum
212,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399,Burrito Bandidos,43.662962178169344,-79.38395554190546,Burrito Place
213,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399,The Alley,43.66592244798498,-79.38556672752236,Bubble Tea Shop
214,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399,Japango,43.65526771691681,-79.38516506734886,Sushi Restaurant
215,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399,Bar Volo,43.66546184849369,-79.38569158315659,Beer Bar
216,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399,Silver Snail Comics,43.65703137958407,-79.38140310220501,Comic Shop
217,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399,DAVIDsTEA,43.65697339589283,-79.38103961039258,Tea Room
218,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399,Lebanon Express,43.66099058425057,-79.38297576948105,Falafel Restaurant
219,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399,UNIQLO ユニクロ,43.65591027779457,-79.38064099181345,Clothing Store
220,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399,Aboveground Art Supplies,43.652645648070006,-79.3909251764317,Arts & Crafts Store
221,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399,Manpuku まんぷく,43.653612411792935,-79.39061276446213,Japanese Restaurant
222,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399,Ontario College of Art and Design University (OCADU),43.65280251171013,-79.3910743699992,University
223,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399,Dollarama,43.66068,-79.38468,Discount Store
